№,Province,District,Sub-District,Neighbourhood,Zip Code
7533,AYDIN,KUYUCAK,HORSUNLU,BUCAKKÖY KÖYÜ,09950
7534,AYDIN,KUYUCAK,HORSUNLU,CUMHURİYET MAH.,09950
7535,AYDIN,KUYUCAK,HORSUNLU,DEREKÖY KÖYÜ,09950
7536,AYDIN,KUYUCAK,HORSUNLU,DÖRTEYLÜL MAH.,09950
7537,AYDIN,KUYUCAK,HORSUNLU,GENCELLİ KÖYÜ,09950
7538,AYDIN,KUYUCAK,HORSUNLU,GENCELLİDERE KÖYÜ,09950
7539,AYDIN,KUYUCAK,HORSUNLU,İĞDECİK KÖYÜ,09950
7540,AYDIN,KUYUCAK,HORSUNLU,MENDERES MAH.,09950
7541,AYDIN,KUYUCAK,HORSUNLU,YENİ MAH.,09950
7542,AYDIN,KUYUCAK,HORSUNLU,ZEKİBEY MAH.,09950
7543,AYDIN,KUYUCAK,KURTULUŞ,CUMHURİYET MAH.,09965
7544,AYDIN,KUYUCAK,KURTULUŞ,KURTULUŞ MH,09965
7545,AYDIN,KUYUCAK,KURTULUŞ,YENİ MAH.,09965
7546,AYDIN,KUYUCAK,KURTULUŞ,ZAFER MAH.,09965
7547,AYDIN,KUYUCAK,KUYUCAK,AYDINOĞLU MAH.,09930
7548,AYDIN,KUYUCAK,KUYUCAK,BEŞEYLÜL MAH.,09930
7549,AYDIN,KUYUCAK,KUYUCAK,CUMHURİYET MAH.,09930
7550,AYDIN,KUYUCAK,KUYUCAK,FATİH MAH.,09930
7551,AYDIN,KUYUCAK,KUYUCAK,KURTULUŞ MAH.,09930
7552,AYDIN,KUYUCAK,KUYUCAK,MUSTAFAPAŞA MAH.,09930
7553,AYDIN,KUYUCAK,KUYUCAK,YAKUPPAŞA MAH.,09930
7554,AYDIN,KUYUCAK,KUYUCAK,YENİ MAH.,09930
7555,AYDIN,KUYUCAK,MERKEZKÖYLER,BELENOVA KÖYÜ,09930
7556,AYDIN,KUYUCAK,MERKEZKÖYLER,BEŞEYLÜL KÖYÜ,09930
7557,AYDIN,KUYUCAK,MERKEZKÖYLER,ÇAMDİBİ KÖYÜ,09930
7558,AYDIN,KUYUCAK,MERKEZKÖYLER,ÇOBANİSA KÖYÜ,09930
7559,AYDIN,KUYUCAK,MERKEZKÖYLER,KARAPINAR KÖYÜ,09930
7560,AYDIN,KUYUCAK,MERKEZKÖYLER,KAYRAN KÖYÜ,09930
7561,AYDIN,KUYUCAK,MERKEZKÖYLER,MUSAKOLU KÖYÜ,09930
7562,AYDIN,KUYUCAK,MERKEZKÖYLER,OVACIK KÖYÜ,09930
7563,AYDIN,KUYUCAK,MERKEZKÖYLER,ÖREN KÖYÜ,09930
7564,AYDIN,KUYUCAK,MERKEZKÖYLER,TAŞOLUK KÖYÜ,09930
7565,AYDIN,KUYUCAK,MERKEZKÖYLER,YAYLALI KÖYÜ,09930
7566,AYDIN,KUYUCAK,MERKEZKÖYLER,YEŞİLDERE KÖYÜ,09930
7567,AYDIN,KUYUCAK,MERKEZKÖYLER,YUKARIYAKACIK KÖYÜ,09930
7568,AYDIN,KUYUCAK,PAMUKÖREN,CUMHURİYET MAH.,09940
7569,AYDIN,KUYUCAK,PAMUKÖREN,DEĞİRMENDERE MAH.,09940
7570,AYDIN,KUYUCAK,PAMUKÖREN,FETHİYE MAH.,09940
7571,AYDIN,KUYUCAK,PAMUKÖREN,KURTULUŞ MAH.,09940
7572,AYDIN,KUYUCAK,PAMUKÖREN,PAMUCAK KÖYÜ,09940
7573,AYDIN,KUYUCAK,PAMUKÖREN,SARICAOVA KÖYÜ,09940
7574,AYDIN,KUYUCAK,PAMUKÖREN,YÖRE KÖYÜ,09940
7575,AYDIN,KUYUCAK,YAMALAK,ESENTEPE MAH.,09965
7576,AYDIN,KUYUCAK,YAMALAK,KEMER MAH.,09965
7577,AYDIN,KUYUCAK,YAMALAK,YENİ MAH.,09965
7578,AYDIN,NAZİLLİ,MERKEZKÖYLER,AKSU KÖYÜ,09800
7579,AYDIN,NAZİLLİ,MERKEZKÖYLER,APAKLAR KÖYÜ,09800
7580,AYDIN,NAZİLLİ,MERKEZKÖYLER,ARSLANLI KÖYÜ,09800
7581,AYDIN,NAZİLLİ,MERKEZKÖYLER,AŞAĞIÖRENCİK KÖYÜ,09800
7582,AYDIN,NAZİLLİ,MERKEZKÖYLER,AŞAĞIYAKACIK KÖYÜ,09800
7583,AYDIN,NAZİLLİ,MERKEZKÖYLER,BAĞCILLI KÖYÜ,09800
7584,AYDIN,NAZİLLİ,MERKEZKÖYLER,BAYINDIR KÖYÜ,09800
7585,AYDIN,NAZİLLİ,MERKEZKÖYLER,BEĞERLİ KÖYÜ,09800
7586,AYDIN,NAZİLLİ,MERKEZKÖYLER,BEKİRLER KÖYÜ,09800
7587,AYDIN,NAZİLLİ,MERKEZKÖYLER,BEREKETLİ KÖYÜ,09800
7588,AYDIN,NAZİLLİ,MERKEZKÖYLER,ÇATAK KÖYÜ,09800
7589,AYDIN,NAZİLLİ,MERKEZKÖYLER,ÇAYLI KÖYÜ,09800
7590,AYDIN,NAZİLLİ,MERKEZKÖYLER,ÇOBANLAR KÖYÜ,09800
7591,AYDIN,NAZİLLİ,MERKEZKÖYLER,DEMİRCİLER KÖYÜ,09800
7592,AYDIN,NAZİLLİ,MERKEZKÖYLER,DEREAĞZI KÖYÜ,09800
7593,AYDIN,NAZİLLİ,MERKEZKÖYLER,DEREBAŞI KÖYÜ,09800
7594,AYDIN,NAZİLLİ,MERKEZKÖYLER,DUALAR KÖYÜ,09800
7595,AYDIN,NAZİLLİ,MERKEZKÖYLER,ESENKÖY KÖYÜ,09800
7596,AYDIN,NAZİLLİ,MERKEZKÖYLER,ESENTEPE KÖYÜ,09800
7597,AYDIN,NAZİLLİ,MERKEZKÖYLER,EYCELLİ KÖYÜ,09800
7598,AYDIN,NAZİLLİ,MERKEZKÖYLER,GEDİK KÖYÜ,09800
7599,AYDIN,NAZİLLİ,MERKEZKÖYLER,GEDİKALTI KÖYÜ,09800
7600,AYDIN,NAZİLLİ,MERKEZKÖYLER,HAMİDİYE KÖYÜ,09800
7601,AYDIN,NAZİLLİ,MERKEZKÖYLER,HAMZALI KÖYÜ,09800
7602,AYDIN,NAZİLLİ,MERKEZKÖYLER,HASKÖY KÖYÜ,09800
7603,AYDIN,NAZİLLİ,MERKEZKÖYLER,HAYDARLI KÖYÜ,09800
7604,AYDIN,NAZİLLİ,MERKEZKÖYLER,HİSARCIK KÖYÜ,09800
7605,AYDIN,NAZİLLİ,MERKEZKÖYLER,IŞIKLAR KÖYÜ,09800
7606,AYDIN,NAZİLLİ,MERKEZKÖYLER,İSABEYLİ KÖYÜ,09800
7607,AYDIN,NAZİLLİ,MERKEZKÖYLER,KAHVEDERESİ KÖYÜ,09800
7608,AYDIN,NAZİLLİ,MERKEZKÖYLER,KARAHALLI KÖYÜ,09800
7609,AYDIN,NAZİLLİ,MERKEZKÖYLER,KARDEŞKÖY KÖYÜ,09800
7610,AYDIN,NAZİLLİ,MERKEZKÖYLER,KAŞIKÇILAR KÖYÜ,09800
7611,AYDIN,NAZİLLİ,MERKEZKÖYLER,KAVACIK KÖYÜ,09800
7612,AYDIN,NAZİLLİ,MERKEZKÖYLER,KESTEL KÖYÜ,09800
7613,AYDIN,NAZİLLİ,MERKEZKÖYLER,KETENDERE KÖYÜ,09800
7614,AYDIN,NAZİLLİ,MERKEZKÖYLER,KETENOVA KÖYÜ,09800
7615,AYDIN,NAZİLLİ,MERKEZKÖYLER,KIRCAKLI KÖYÜ,09800
7616,AYDIN,NAZİLLİ,MERKEZKÖYLER,KIZILDERE KÖYÜ,09800
7617,AYDIN,NAZİLLİ,MERKEZKÖYLER,KOCAKESİK KÖYÜ,09800
7618,AYDIN,NAZİLLİ,MERKEZKÖYLER,KOZDERE KÖYÜ,09800
7619,AYDIN,NAZİLLİ,MERKEZKÖYLER,KUŞÇULAR KÖYÜ,09800
7620,AYDIN,NAZİLLİ,MERKEZKÖYLER,MESCİTLİ KÖYÜ,09800
7621,AYDIN,NAZİLLİ,MERKEZKÖYLER,OVACIK KÖYÜ,09800
7622,AYDIN,NAZİLLİ,MERKEZKÖYLER,RAHMANLAR KÖYÜ,09800
7623,AYDIN,NAZİLLİ,MERKEZKÖYLER,SAİLER KÖYÜ,09800
7624,AYDIN,NAZİLLİ,MERKEZKÖYLER,SEMAİLLİ KÖYÜ,09800
7625,AYDIN,NAZİLLİ,MERKEZKÖYLER,SİNEKÇİLER KÖYÜ,09800
7626,AYDIN,NAZİLLİ,MERKEZKÖYLER,ŞİMŞELLİ KÖYÜ,09800
7627,AYDIN,NAZİLLİ,MERKEZKÖYLER,TOYGAR KÖYÜ,09800
7628,AYDIN,NAZİLLİ,MERKEZKÖYLER,UZUNÇAM KÖYÜ,09800
7629,AYDIN,NAZİLLİ,MERKEZKÖYLER,YALINKUYU KÖYÜ,09800
7630,AYDIN,NAZİLLİ,MERKEZKÖYLER,YAZIRLI KÖYÜ,09800
7631,AYDIN,NAZİLLİ,MERKEZKÖYLER,YELLİCE KÖYÜ,09800
7632,AYDIN,NAZİLLİ,MERKEZKÖYLER,YUKARIÖRENCİK KÖYÜ,09800
7633,AYDIN,NAZİLLİ,NAZİLLİ,ALTINTAŞ MAH.,09800
7634,AYDIN,NAZİLLİ,NAZİLLİ,ARSLANLICUMHURİYET MAH.,09800
7635,AYDIN,NAZİLLİ,NAZİLLİ,ARSLANLIHÜRRİYET MAH.,09800
7636,AYDIN,NAZİLLİ,NAZİLLİ,ARSLANLIZAFER MAH.,09800
7637,AYDIN,NAZİLLİ,NAZİLLİ,AYDOĞDU MAH.,09800
7638,AYDIN,NAZİLLİ,NAZİLLİ,BOZYURT MAH,09800
7639,AYDIN,NAZİLLİ,NAZİLLİ,DALLICA MAH,09800
7640,AYDIN,NAZİLLİ,NAZİLLİ,DURASILLI MAH,09800
7641,AYDIN,NAZİLLİ,NAZİLLİ,GÜZELKÖY MAH,09800
7642,AYDIN,NAZİLLİ,NAZİLLİ,İSABEYLİCUMHURİYET MAH.,09800
7643,AYDIN,NAZİLLİ,NAZİLLİ,İSABEYLİİSTASYON MAH.,09800
7644,AYDIN,NAZİLLİ,NAZİLLİ,İSABEYLİİSTİKLAL MAH.,09800
7645,AYDIN,NAZİLLİ,NAZİLLİ,İSABEYLİKURTULUŞ MAH.,09800
7646,AYDIN,NAZİLLİ,NAZİLLİ,İSABEYLİYEŞİLDERE MAH.,09800
7647,AYDIN,NAZİLLİ,NAZİLLİ,İSTİKLAL MAH.,09800
7648,AYDIN,NAZİLLİ,NAZİLLİ,KURTULUŞ MAH.,09800
7649,AYDIN,NAZİLLİ,NAZİLLİ,OCAKLI MAH,09800
7650,AYDIN,NAZİLLİ,NAZİLLİ,PINARBAŞI MAH.,09800
7651,AYDIN,NAZİLLİ,NAZİLLİ,SEVİNDİKLİ MAH,09800
7652,AYDIN,NAZİLLİ,NAZİLLİ,TURAN MAH.,09800
7653,AYDIN,NAZİLLİ,NAZİLLİ,YENİ MAH.,09800
7654,AYDIN,NAZİLLİ,NAZİLLİ,YEŞİL MAH.,09800
7655,AYDIN,NAZİLLİ,NAZİLLİ,YILDIZTEPE MAH.,09800
7656,AYDIN,NAZİLLİ,NAZİLLİ,ZAFER MAH.,09800
7657,AYDIN,NAZİLLİ,PİRLİBEY,ATATÜRK MAH.,09870
7658,AYDIN,NAZİLLİ,PİRLİBEY,BAYRAMCAMİ MAH.,09870
7659,AYDIN,NAZİLLİ,PİRLİBEY,CUMHURİYET MAH.,09870
7660,AYDIN,NAZİLLİ,PİRLİBEY,FATİH MAH.,09870
7661,AYDIN,NAZİLLİ,SÜMER,CUMHURİYET MAH.,09900
7662,AYDIN,NAZİLLİ,SÜMER,ÇAPAHASAN MAH.,09900
7663,AYDIN,NAZİLLİ,SÜMER,DUMLUPINAR MAH.,09900
7664,AYDIN,NAZİLLİ,SÜMER,KARAÇAY MAH.,09900
7665,AYDIN,NAZİLLİ,SÜMER,NAZİLLİ OSB,09900
7666,AYDIN,NAZİLLİ,SÜMER,PROFÖSÖRMUAMMERAKSOY MAH.,09900
7667,AYDIN,NAZİLLİ,SÜMER,SÜMER MAH.,09900
7668,AYDIN,NAZİLLİ,SÜMER,ŞİRİNEVLER MAH.,09900
7669,AYDIN,NAZİLLİ,SÜMER,YENİSANAYİİ MAH.,09900
7670,AYDIN,NAZİLLİ,SÜMER,YEŞİLYURT MAH.,09900
7671,AYDIN,SÖKE,ATBURGAZI,ATATÜRK MAH.,09220
7672,AYDIN,SÖKE,ATBURGAZI,DOĞANBEY KÖYÜ,09220
7673,AYDIN,SÖKE,ATBURGAZI,İNÖNÜ MAH.,09220
7674,AYDIN,SÖKE,ATBURGAZI,TUZBURGAZI KÖYÜ,09220
7675,AYDIN,SÖKE,ATBURGAZI,YUVACA KÖYÜ,09220
7676,AYDIN,SÖKE,BAĞARASI,AKÇAKAYA KÖYÜ,09170
7677,AYDIN,SÖKE,BAĞARASI,ARSLANYAYLASI KÖYÜ,09170
7678,AYDIN,SÖKE,BAĞARASI,AVCILAR KÖYÜ,09170
7679,AYDIN,SÖKE,BAĞARASI,BAYIRDAMI KÖYÜ,09170
7680,AYDIN,SÖKE,BAĞARASI,BURUNKÖY KÖYÜ,09170
7681,AYDIN,SÖKE,BAĞARASI,CAMİKEBİR MAH.,09170
7682,AYDIN,SÖKE,BAĞARASI,CUMHURİYET MAH.,09170
7683,AYDIN,SÖKE,BAĞARASI,ÇALIŞLI KÖYÜ,09170
7684,AYDIN,SÖKE,BAĞARASI,ÇAVDAR KÖYÜ,09170
7685,AYDIN,SÖKE,BAĞARASI,DEMİRÇAY KÖYÜ,09170
7686,AYDIN,SÖKE,BAĞARASI,GÜNEYYAKA KÖYÜ,09170
7687,AYDIN,SÖKE,BAĞARASI,GÜZELTEPE KÖYÜ,09170
7688,AYDIN,SÖKE,BAĞARASI,HÜRRİYET MAH.,09170
7689,AYDIN,SÖKE,BAĞARASI,KARAATLI KÖYÜ,09170
7690,AYDIN,SÖKE,BAĞARASI,KARAKAYA KÖYÜ,09170
7691,AYDIN,SÖKE,BAĞARASI,KAYKILLI KÖYÜ,09170
7692,AYDIN,SÖKE,BAĞARASI,KEMALPAŞA MAH,09170
7693,AYDIN,SÖKE,BAĞARASI,KİSİR KÖYÜ,09170
7694,AYDIN,SÖKE,BAĞARASI,KÖPRÜALAN KÖYÜ,09170
7695,AYDIN,SÖKE,BAĞARASI,NALBANTLAR KÖYÜ,09170
7696,AYDIN,SÖKE,BAĞARASI,PAMUKÇULAR KÖYÜ,09170
7697,AYDIN,SÖKE,BAĞARASI,SAYRAKÇI KÖYÜ,09170
7698,AYDIN,SÖKE,BAĞARASI,SOFULAR KÖYÜ,09170
7699,AYDIN,SÖKE,BAĞARASI,YENİKÖY KÖYÜ,09170
7700,AYDIN,SÖKE,GÜLLÜBAHÇE,GÜRSU MAH.,09230
7701,AYDIN,SÖKE,GÜLLÜBAHÇE,KAPAKLI MAH.,09230
7702,AYDIN,SÖKE,GÜLLÜBAHÇE,TURUNÇLAR MAH.,09230
7703,AYDIN,SÖKE,GÜLLÜBAHÇE,YENİCAMİ MAH.,09230
7704,AYDIN,SÖKE,MERKEZKÖYLER,AĞAÇLI KÖYÜ,09200
7705,AYDIN,SÖKE,MERKEZKÖYLER,AKÇAKONAK KÖYÜ,09200
7706,AYDIN,SÖKE,MERKEZKÖYLER,ARGAVLI KÖYÜ,09200
7707,AYDIN,SÖKE,MERKEZKÖYLER,AVŞAR KÖYÜ,09200
7708,AYDIN,SÖKE,MERKEZKÖYLER,ÇALIKÖY KÖYÜ,09200
7709,AYDIN,SÖKE,MERKEZKÖYLER,GÖLBENT KÖYÜ,09200
7710,AYDIN,SÖKE,MERKEZKÖYLER,KARACAHAYIT KÖYÜ,09200
7711,AYDIN,SÖKE,MERKEZKÖYLER,ÖZBAŞI KÖYÜ,09200
7712,AYDIN,SÖKE,MERKEZKÖYLER,YEŞİLKÖY KÖYÜ,09200
7713,AYDIN,SÖKE,SARIKEMER,CUMHURİYET MAH.,09250
7714,AYDIN,SÖKE,SARIKEMER,GÜZELYAKA MAH.,09250
7715,AYDIN,SÖKE,SARIKEMER,YEŞİLOVA MAH.,09250
7716,AYDIN,SÖKE,SAVUCA,EMEK MAH.,09206
7717,AYDIN,SÖKE,SAVUCA,SAVUCA KÖYÜ,09206
7718,AYDIN,SÖKE,SAVUCA,TURAN MAH.,09206
7719,AYDIN,SÖKE,SAVUCA,YENİ MAH,09206
7720,AYDIN,SÖKE,SAZLIKÖY,CUMHURİYET MAH.,09260
7721,AYDIN,SÖKE,SAZLIKÖY,FIRAT MAH.,09260
7722,AYDIN,SÖKE,SAZLIKÖY,KAZIMKARABEKİR MAH.,09260
7723,AYDIN,SÖKE,SAZLIKÖY,SERÇİN KÖYÜ,09260
7724,AYDIN,SÖKE,SAZLIKÖY,YAMAÇ KÖYÜ,09260
7725,AYDIN,SÖKE,SÖKE,ATATÜRK MAH.,09200
7726,AYDIN,SÖKE,SÖKE,CUMHURİYET MAH.,09200
7727,AYDIN,SÖKE,SÖKE,ÇELTİKÇİ MAH.,09200
7728,AYDIN,SÖKE,SÖKE,FEVZİPAŞA MAH.,09200
7729,AYDIN,SÖKE,SÖKE,KEMALPAŞA MAH.,09200
7730,AYDIN,SÖKE,SÖKE,KONAK MAH.,09200
7731,AYDIN,SÖKE,SÖKE,ÖZBEYYENİKÖY MAH.,09200
7732,AYDIN,SÖKE,SÖKE,YENİCAMİİ MAH.,09200
7733,AYDIN,SÖKE,SÖKE,YENİKENT MAH.,09200
7734,AYDIN,SÖKE,YENİDOĞAN,ATATÜRK MAH.,09207
7735,AYDIN,SÖKE,YENİDOĞAN,CUMHURİYET MAH.,09207
7736,AYDIN,SÖKE,YENİDOĞAN,ÖZBEY MAH.,09207
7737,AYDIN,SÖKE,YENİDOĞAN,YENİ MAH.,09207
7738,AYDIN,SULTANHİSAR,ATÇA,AYDINOĞLU MAH.,09650
7739,AYDIN,SULTANHİSAR,ATÇA,CUMHURİYET MAH.,09650
7740,AYDIN,SULTANHİSAR,ATÇA,ÇELEBİOĞLU MAH.,09650
7741,AYDIN,SULTANHİSAR,ATÇA,DEMİRHAN KÖYÜ,09650
7742,AYDIN,SULTANHİSAR,ATÇA,İNCEALAN KÖYÜ,09650
7743,AYDIN,SULTANHİSAR,ATÇA,KILAVUZLAR KÖYÜ,09650
7744,AYDIN,SULTANHİSAR,ATÇA,UZUNLAR KÖYÜ,09650
7745,AYDIN,SULTANHİSAR,ATÇA,YAĞDERE KÖYÜ,09650
7746,AYDIN,SULTANHİSAR,ATÇA,YENİ MAH.,09650
7747,AYDIN,SULTANHİSAR,MERKEZKÖYLER,ESKİHİSAR KÖYÜ,09470
7748,AYDIN,SULTANHİSAR,MERKEZKÖYLER,GÜVENDİK KÖYÜ,09470
7749,AYDIN,SULTANHİSAR,MERKEZKÖYLER,KABACA KÖYÜ,09470
7750,AYDIN,SULTANHİSAR,MERKEZKÖYLER,KAVAKLIKÖY KÖYÜ,09470
7751,AYDIN,SULTANHİSAR,MERKEZKÖYLER,MALGAÇEMİR KÖYÜ,09470
7752,AYDIN,SULTANHİSAR,MERKEZKÖYLER,MALGAÇMUSTAFA KÖYÜ,09470
7753,AYDIN,SULTANHİSAR,SALAVATLI,CUMHURİYET MAH.,09490
7754,AYDIN,SULTANHİSAR,SALAVATLI,ORTA MAH.,09490
7755,AYDIN,SULTANHİSAR,SULTANHİSAR,BEŞEYLÜL MAH.,09470
7756,AYDIN,SULTANHİSAR,SULTANHİSAR,DENEME MAH.,09470
7757,AYDIN,SULTANHİSAR,SULTANHİSAR,HİSAR MAH.,09470
7758,AYDIN,SULTANHİSAR,SULTANHİSAR,KURTULUŞ MAH.,09470
7759,AYDIN,SULTANHİSAR,SULTANHİSAR,REKMEZ MAH.,09470
7760,AYDIN,SULTANHİSAR,SULTANHİSAR,ZAFER MAH.,09470
7761,AYDIN,YENİPAZAR,MERKEZKÖYLER,ALHAN KÖYÜ,09350
7762,AYDIN,YENİPAZAR,MERKEZKÖYLER,ALİOĞULLAR KÖYÜ,09350
7763,AYDIN,YENİPAZAR,MERKEZKÖYLER,ÇAVDARKÖY KÖYÜ,09350
7764,AYDIN,YENİPAZAR,MERKEZKÖYLER,ÇULHAN KÖYÜ,09350
7765,AYDIN,YENİPAZAR,MERKEZKÖYLER,DEREKÖY KÖYÜ,09350
7766,AYDIN,YENİPAZAR,MERKEZKÖYLER,DİRECİK KÖYÜ,09350
7767,AYDIN,YENİPAZAR,MERKEZKÖYLER,DONDURAN KÖYÜ,09350
7768,AYDIN,YENİPAZAR,MERKEZKÖYLER,EĞRİDERE KÖYÜ,09350
7769,AYDIN,YENİPAZAR,MERKEZKÖYLER,HACIKÖSELER KÖYÜ,09350
7770,AYDIN,YENİPAZAR,MERKEZKÖYLER,HAMZABALI KÖYÜ,09350
7771,AYDIN,YENİPAZAR,MERKEZKÖYLER,KARACAÖREN KÖYÜ,09350
7772,AYDIN,YENİPAZAR,MERKEZKÖYLER,KARAÇAKAL KÖYÜ,09350
7773,AYDIN,YENİPAZAR,MERKEZKÖYLER,KOYUNLAR KÖYÜ,09350
7774,AYDIN,YENİPAZAR,MERKEZKÖYLER,PAŞAKÖY KÖYÜ,09350
7775,AYDIN,YENİPAZAR,YENİPAZAR,ÇARŞI MAH.,09350
7776,AYDIN,YENİPAZAR,YENİPAZAR,DOĞU MAH.,09350
7777,AYDIN,YENİPAZAR,YENİPAZAR,HÜKÜMET MAH.,09350
7778,AYDIN,YENİPAZAR,YENİPAZAR,YENİ MAH.,09350
7779,BALIKESİR,ALTIEYLÜL,ALTIEYLÜL,ALTIEYLÜL MAH.,10100
7780,BALIKESİR,ALTIEYLÜL,ALTIEYLÜL,DİNKÇİLER MAH.,10100
7781,BALIKESİR,ALTIEYLÜL,ALTIEYLÜL,GAZİOSMANPAŞA MAH.,10100
7782,BALIKESİR,ALTIEYLÜL,ALTIEYLÜL,HACIİLBEY MAH.,10100
7783,BALIKESİR,ALTIEYLÜL,ALTIEYLÜL,KASAPLAR MAH.,10100
7784,BALIKESİR,ALTIEYLÜL,ALTIEYLÜL,SÜTLÜCE MAH.,10100
7785,BALIKESİR,ALTIEYLÜL,ALTIEYLÜL,YILDIZ MAH.,10100
7786,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,ALİAĞA MAH.,10190
7787,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,BAĞALAN MAH.,10190
7788,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,BAHÇEDERE MAH.,10190
7789,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,BEŞPINAR MAH.,10190
7790,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,ÇAMKÖY MAH.,10190
7791,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,ÇUKURHÜSEYİN MAH.,10190
7792,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,DALLIMANDIRA MAH.,10190
7793,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,DEREKÖY MAH.,10190
7794,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,ERTUĞRUL MAH.,10190
7795,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,KARAKAVAK MAH.,10190
7796,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,KARAMANLAR MAH.,10190
7797,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,KOZÖREN MAH.,10190
7798,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,KUTLUDÜĞÜN MAH.,10190
7799,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,KUYUALAN MAH.,10190
7800,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,KÜPELER MAH.,10190
7801,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,MACARLAR MAH.,10190
7802,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,MERYEMDERE MAH.,10190
7803,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,SARIALAN MAH.,10190
7804,BALIKESİR,ALTIEYLÜL,ERTUĞRUL,YEŞİLYURT MAH.,10190
7805,BALIKESİR,ALTIEYLÜL,GÜNDOĞAN,1.GÜNDOĞAN MAH.,10040
7806,BALIKESİR,ALTIEYLÜL,GÜNDOĞAN,2.GÜNDOĞAN MAH.,10040
7807,BALIKESİR,ALTIEYLÜL,GÜNDOĞAN,GÜMÜŞÇEŞME MAH.,10040
7808,BALIKESİR,ALTIEYLÜL,KONAKPINAR,ATAKÖY MAH.,10195
7809,BALIKESİR,ALTIEYLÜL,KONAKPINAR,AYVACIK MAH.,10195
7810,BALIKESİR,ALTIEYLÜL,KONAKPINAR,BAYAT MAH.,10195
7811,BALIKESİR,ALTIEYLÜL,KONAKPINAR,BEREKETLİ MAH.,10195
7812,BALIKESİR,ALTIEYLÜL,KONAKPINAR,BİGATEPE MAH.,10195
7813,BALIKESİR,ALTIEYLÜL,KONAKPINAR,BOZEN MAH.,10195
7814,BALIKESİR,ALTIEYLÜL,KONAKPINAR,ÇAKILLIK MAH.,10195
7815,BALIKESİR,ALTIEYLÜL,KONAKPINAR,ÇINARLIDERE MAH.,10195
7816,BALIKESİR,ALTIEYLÜL,KONAKPINAR,ÇİFTÇİDERE MAH.,10195
7817,BALIKESİR,ALTIEYLÜL,KONAKPINAR,DEDEBURNU MAH.,10195
7818,BALIKESİR,ALTIEYLÜL,KONAKPINAR,DIŞBUDAK MAH.,10195
7819,BALIKESİR,ALTIEYLÜL,KONAKPINAR,KARABEYLER MAH.,10195
7820,BALIKESİR,ALTIEYLÜL,KONAKPINAR,KILCILAR MAH.,10195
7821,BALIKESİR,ALTIEYLÜL,KONAKPINAR,KİRAZKÖY MAH.,10195
7822,BALIKESİR,ALTIEYLÜL,KONAKPINAR,KİRAZPINAR MAH.,10195
7823,BALIKESİR,ALTIEYLÜL,KONAKPINAR,KONAKPINAR MAH.,10195
7824,BALIKESİR,ALTIEYLÜL,KONAKPINAR,KOZDEREGÜVEM MAH.,10195
7825,BALIKESİR,ALTIEYLÜL,KONAKPINAR,KUŞKAYA MAH.,10195
7826,BALIKESİR,ALTIEYLÜL,KONAKPINAR,SIVATPINAR MAH.,10195
7827,BALIKESİR,ALTIEYLÜL,KONAKPINAR,TAŞKÖY MAH.,10195
7828,BALIKESİR,ALTIEYLÜL,KONAKPINAR,TAŞPINAR MAH.,10195
7829,BALIKESİR,ALTIEYLÜL,KONAKPINAR,TAYYİPLER MAH.,10195
7830,BALIKESİR,ALTIEYLÜL,KONAKPINAR,TURNALAR MAH.,10195
7831,BALIKESİR,ALTIEYLÜL,KONAKPINAR,YEŞİLLER MAH.,10195
7832,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,AKARSU MAH.,10185
7833,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,AKÇAKAYA MAH.,10185
7834,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,AKÇAKÖY MAH.,10185
7835,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,ASLIHAN MAH.,10185
7836,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,ASLIHANTEPECİK MAH.,10185
7837,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,ATKÖY MAH.,10185
7838,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,AYNAOĞLU MAH.,10185
7839,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,AYŞEBACI MAH.,10185
7840,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,AYVATLAR MAH.,10185
7841,BALIKESİR,ALTIEYLÜL,MERKEZKÖY,BALIKLI MAH.,10185
