COD_ATECO,DESC_ATECO
36.11.2,"Fabbricazione di poltrone e divani e loro telai, in qualsiasi materiale, esclusi parti e accessori; laboratori di tappezzeria per sedie, sedili, poltrone e divani"
36.11.21,"Fabbricazione di poltrone e divani e loro telai, esclusi parti e accessori"
36.11.22,"Laboratori di tappezzeria per sedie, sedili, poltrone e divani"
36.12,"Fabbricazione di mobili per uffici, negozi, ecc., esclusi parti e accessori"
36.12.1,"Fabbricazione di mobili metallici per uffici, negozi, ecc., esclusi parti e accessori"
36.12.2,"Fabbricazione di mobili non metallici per uffici, negozi, ecc., esclusi parti e accessori"
36.13,"Fabbricazione di mobili per cucina di qualsiasi materiale, esclusi parti e accessori"
36.14,"Fabbricazione di altri mobili; finitura (lucidatura, laccatura e doratura) di sedie, sedili, poltrone, divani e mobili di qualsiasi tipo; restauratori e riparatori di mobili di qualsiasi tipo; fabbricazione di parti e accessori per sedie, sedili, poltrone, divani e mobili di qualsiasi tipo"
36.14.1,"Fabbricazione di altri mobili n.c.a.; finitura (lucidatura, laccatura e doratura) di sedie, sedili, poltrone, divani e mobili di qualsiasi tipo; restauratori e riparatori di mobili di qualsiasi tipo; fabbricazione di parti e accessori per sedie, sedili, poltrone, divani e mobili di qualsiasi tipo"
36.14.11,Fabbricazione di altri mobili n.c.a.
36.14.12,"Finitura (lucidatura, laccatura e doratura) di sedie, sedili, poltrone, divani e mobili di qualsiasi tipo"
36.14.13,"Restauratori e riparatori di sedie, sedili, poltrone, divani e mobili di qualsiasi tipo"
36.14.14,"Fabbricazione di parti e accessori per sedie, sedili, poltrone, divani e mobili di qualsiasi tipo"
36.14.2,"Fabbricazione di mobili in giunco, vimini ed altro materiale simile"
36.15,"Fabbricazione di materassi e relativi supporti (reti metalliche, doghe in legno, ecc.)"
36.2,GIOIELLERIA E OREFICERIA
36.21,Coniazione di monete
36.22,Fabbricazione di gioielleria e oreficeria; lavorazione di pietre preziose
36.22.1,"Fabbricazione di oggetti di gioielleria ed oreficeria, di metalli preziosi o rivestiti di metalli preziosi"
36.22.2,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale
36.3,FABBRICAZIONE E RIPARAZIONE DI STRUMENTI MUSICALI
36.4,"FABBRICAZIONE DI ARTICOLI SPORTIVI; RIPARAZIONE MANUTENZIONE DI ATTREZZATURE SPORTIVE DEL TIPO UTILIZZATO IN PALESTRE, CENTRI SPORTIVI E SIMILI"
36.5,FABBRICAZIONE DI GIOCHI E GIOCATTOLI
36.50.1,"Fabbricazione di giochi, compresi i videogiochi; riparazione e manutenzione di giochi di uso non domestico"
36.50.2,"Fabbricazione di giocattoli, compresi i tricicli e gli strumenti musicali giocattolo"
36.6,ALTRE INDUSTRIE MANIFATTURIERE N.C.A.
36.61,Fabbricazione di oggetti di bigiotteria
36.62,"Fabbricazione di scope, spazzole, pennelli e simili"
36.63,Altre industrie manifatturiere non previste nei precedenti codici
36.63.1,"Fabbricazione di carrozzine e passeggini per l'infanzia, escluse le culle"
36.63.2,"Fabbricazione di linoleum, rivestimenti in materiale composito per pavimenti; elementi sagomati per la coibentazione termoacustica"
36.63.3,"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini"
36.63.4,"Fabbricazione riparazione e manutenzione di giostre, altalene e attrezzature meccaniche per luna-park"
36.63.5,Fabbricazione di oggetti di cancelleria e di altri articoli n.c.a.
36.63.51,Fabbricazione di oggetti di cancelleria
36.63.52,Fabbricazione di altri articoli n.c.a.
37,RECUPERO E PREPARAZIONE PER IL RICICLAGGIO
37.1,RECUPERO E PREPARAZIONE PER IL RICICLAGGIO DI CASCAMI E ROTTAMI METALLICI; CANTIERI DI DEMOLIZIONI NAVALI
37.10.1,Recupero e preparazione per il riciclaggio di cascami e rottami metallici
37.10.2,Cantieri di demolizioni navali
37.2,RECUPERO E PREPARAZIONE PER IL RICICLAGGIO DI CASCAMI E ROTTAMI NON METALLICI
37.20.1,"Recupero e preparazione per il riciclaggio di materiale plastico per produzione di materie prime secondarie plastiche, resine sintetiche"
37.20.2,"Recupero e preparazione per il riciclaggio dei rifiuti solidi urbani, industriali e biomasse"
40,"PRODUZIONE E DISTRIBUZIONE DI ENERGIA ELETTRICA, DI GAS, DEL CALORE E DEL FREDDO"
40.1,"PRODUZIONE, TRASPORTO, DISTRIBUZIONE E COMMERCIO DI ENERGIA ELETTRICA"
40.11,Produzione di energia elettrica
40.12,Trasporto di energia elettrica
40.13,Distribuzione e commercio di energia elettrica
40.2,PRODUZIONE DI GAS; DISTRIBUZIONE E COMMERCIO DI COMBUSTIBILI GASSOSI MEDIANTE CONDOTTE
40.21,Produzione di gas
40.22,Distribuzione e commercio di combustibili gassosi mediante condotte
40.3,PRODUZIONE E DISTRIBUZIONE DEL CALORE E DEL FREDDO
41,"RACCOLTA, DEPURAZIONE E DISTRIBUZIONE D'ACQUA"
41.00.1,"Captazione, adduzione, depurazione e distribuzione di acqua potabile"
41.00.2,"Captazione, adduzione, depurazione e distribuzione di acqua non potabile"
45,COSTRUZIONI
45.1,PREPARAZIONE DEL CANTIERE EDILE
45.11,Demolizione di edifici e sistemazione del terreno
45.12,Trivellazioni e perforazioni
45.2,EDILIZIA E GENIO CIVILE
45.21,Lavori generali di costruzione di edifici e lavori di ingegneria civile
45.21.1,Lavori generali di costruzione di edifici
45.21.2,Lavori di ingegneria civile
45.22,"Posa in opera di coperture e costruzione di tetti di edifici, comprese le relative ossature; lavori di impermeabilizzazione"
45.23,"Costruzione di autostrade, strade, strade ferrate, campi di aviazione, impianti sportivi e altri lavori di superficie"
45.24,Costruzione di opere idrauliche
45.25,Altri lavori speciali di costruzione
45.3,INSTALLAZIONE DEI SERVIZI IN EDIFICI
45.31,Installazione e riparazione di impianti elettrici ed elettronici; installazione di impianti di sollevamento in edifici
45.31.01,Installazione e riparazione di impianti  per la distribuzione dell'energia elettrica
45.31.02,"Installazione e riparazione di impianti Radio TV, impianti d'allarme, impianti telefonici ed altri impianti di telecomunicazione , antenne e parafulmini"
45.31.03,"Installazione di impianti di sollevamento, esclusa la riparazione di ascensori, montacarichi e scale mobili"
45.32,Lavori di isolamento
45.33,"Installazione e riparazione di impianti termici, idraulico-sanitari e per il trasporto del gas"
45.33.01,Installazione e riparazione di impianti di riscaldamento e di condizionamento
45.33.02,Installazione e riparazione di impianti idrosanitari
45.33.03,Installazione e riparazione di impianti per il trasporto del gas
45.34,Installazione e riparazione di altri impianti
45.34.01,Installazione e riparazione di impianti integrati di protezione antincendio
45.34.02,Installazione e riparazione di altri impianti n.c.a.
45.4,LAVORI DI COMPLETAMENTO DEGLI EDIFICI
45.41,Intonacatura e stuccatura
45.42,"Posa in opera di infissi, arredi controsoffitti, pareti mobili e simili"
45.43,Rivestimento di pavimenti e di muri
45.44,Tinteggiatura e posa in opera di vetri
45.45,Attivita' non specializzate di lavori edili ed altri lavori di completamento degli edifici
45.45.01,Attivita' non specializzate di lavori edili
45.45.02,Altri lavori di completamento degli edifici
45.5,"NOLEGGIO CON MANOVRATORE DI MACCHINE ED ATTREZZATURE PER LA COSTRUZIONE, LA DEMOLIZIONE ED IL MOVIMENTO TERRA; NOLEGGIO CON MANOVRATORE DI ATTREZZATURE PER I SOLLEVAMENTI SPECIALI"
50,"COMMERCIO, MANUTENZIONE E RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI; VENDITA AL DETTAGLIO DI CARBURANTI PER AUTOTRAZIONE"
50.1,COMMERCIO DI AUTOVEICOLI
50.10.01,Commercio ingrosso e dettaglio di autoveicoli
50.10.02,"Intermediari del commercio di autoveicoli, comprese le agenzie di compravendita"
50.2,MANUTENZIONE E RIPARAZIONE DI AUTOVEICOLI
50.20.1,Manutenzione e riparazioni meccaniche di autoveicoli
50.20.2,Manutenzione e riparazione di carrozzerie di autoveicoli
50.20.3,Manutenzione e riparazione di impianti elettrici e di alimentazione per autoveicoli
50.20.4,"Manutenzione e riparazione e sostituzione di pneumatici, esclusa la rigenerazione e la ricostruzione"
50.20.5,Soccorso stradale; autolavaggio; altre attivita' di manutenzione e di riparazione di autoveicoli
50.20.51,Soccorso stradale
50.20.52,Autolavaggio
50.20.53,Altre attivita' di manutenzione e di riparazione di autoveicoli
50.3,COMMERCIO DI PARTI ED ACCESSORI DI AUTOVEICOLI
50.30.01,Commercio all'ingrosso e al dettaglio di parti ed accessori di autoveicoli
50.30.02,Intermediari del commercio di parti ed accessori di autoveicoli
50.4,"COMMERCIO, MANUTENZIONE E RIPARAZIONE DI MOTOCICLI  E CICLOMOTORI, ACCESSORI E PEZZI DI RICAMBIO"
50.40.1,Commercio di motocicli e ciclomotori
50.40.11,Commercio all'ingrosso e al dettaglio di motocicli e ciclomotori
50.40.12,Intermediari del commercio di motocicli e ciclomotori
50.40.2,Commercio di parti ed accessori di motocicli e ciclomotori
50.40.21,Commercio all'ingrosso e al dettaglio di parti ed accessori di motocicli e ciclomotori
50.40.22,Intermediari del commercio di parti ed accessori di motocicli e ciclomotori
50.40.3,"Manutenzione e riparazione di motocicli e ciclomotori, esclusa la riparazione e la sostituzione di pneumatici"
50.5,"VENDITA AL DETTAGLIO DI CARBURANTI PER AUTOTRAZIONE, PER IMBARCAZIONI E AEREI (DA DIPORTO)"
51,"COMMERCIO ALL'INGROSSO E INTERMEDIARI DEL COMMERCIO, AUTOVEICOLI E MOTOCICLI ESCLUSI"
51.1,INTERMEDIARI DEL COMMERCIO
51.11,"Intermediari del commercio di materie agricole, animali vivi; materie prime e semilavorati tessili; cuoio e pelli"
51.11.01,"Agenti e rappresentanti di cereali, legumi secchi: grano, granoturco, riso greggio e semilavorato, legumi secchi e altri prodotti similari, sementi, foraggi e mangimi per zootecnia, piante officinali e semi oleosi"
51.11.02,Agenti e rappresentanti di fiori e piante
51.11.03,Agenti e rappresentanti di animali vivi
51.11.04,"Agenti e rappresentanti di fibre tessili gregge e semilavorate, cuoio e pelli"
51.11.05,"Procacciatori d'affari di materie agricole, animali vivi, materie prime e semilavorati tessili, cuoio e pelli"
51.11.06,"Mediatori in materie agricole,  materie prime e semilavorati tessili, cuoio e pelli"
51.11.07,Mediatori in animali vivi
51.12,"Intermediari del commercio di prodotti petroliferi e lubrificanti; combustibili; minerali, metalli e prodotti semilavorati, esclusi i metalli preziosi; prodotti chimici ed assimilati per l'industria; prodotti chimici per l'agricoltura, compresi i concimi"
51.12.01,"Agenti e rappresentanti di carburanti, gpl, gas in bombole e simili; lubrificanti"
51.12.02,Agenti e rappresentanti di combustibili solidi
51.12.03,"Agenti e rappresentanti di minerali, metalli e prodotti semilavorati, esclusi i metalli preziosi"
51.12.04,"Agenti e rappresentanti di prodotti chimici per l'industria, compresi oli e grassi di origine animale e vegetale e gomma greggia"
51.12.05,"Agenti e rappresentanti di prodotti chimici per l'agricoltura, compresi i concimi"
51.12.06,"Procacciatori d'affari di prodotti petroliferi e lubrificanti; combustibili; minerali, metalli e prodotti semilavorati, esclusi i metalli preziosi; prodotti chimici per l'industria, compresi oli e grassi di origine animale e vegetale e gomma greggia; prodotti chimici per l'agricoltura, compresi i concimi"
51.12.07,"Mediatori in prodotti petroliferi e lubrificanti; combustibili; minerali, metalli e prodotti semilavorati, esclusi i metalli preziosi; prodotti chimici per l'industria, compresi oli e grassi di origine animale e vegetale e gomma greggia; prodotti chimici per l'agricoltura, compresi i concimi"
51.13,"Intermediari del commercio di legname, semilavorati in legno e legno artificiale; materiali da costruzione, compresi gli infissi e gli articoli igienico-sanitari; vetro piano; articoli di installazione: apparecchi idraulico-sanitari, apparecchi ed accessori per il riscaldamento e per il condizionamento e altri prodotti similari, esclusi i condizionatori per uso domestico"
51.13.01,"Agenti e rappresentanti di legname, semilavorati in legno e legno artificiale"
51.13.02,"Agenti e rappresentanti di materiale da costruzione, compresi gli infissi e gli articoli igienico-sanitari; vetro piano"
51.13.03,"Agenti e rappresentanti di articoli di installazione: apparecchi idraulico-sanitari, apparecchi ed accessori per il riscaldamento e per il condizionamento e altri prodotti similari, esclusi i condizionatori per uso domestico"
51.13.04,"Procacciatori d'affari di legname, semilavorati in legno e legno artificiale; materiali da costruzione, compresi gli infissi e gli articoli igienico-sanitari; vetro piano; articoli di installazione: apparecchi idraulico-sanitari, apparecchi ed accessori per il riscaldamento e per il condizionamento e altri prodotti similari, esclusi i condizionatori per uso domestico"
51.13.05,"Mediatori in legname, semilavorati in legno e legno artificiale; materiali da costruzione, compresi gli infissi e gli articoli igienico-sanitari; vetro piano; articoli di installazione: apparecchi idraulico-sanitari, apparecchi ed accessori per il riscaldamento e per il condizionamento e altri prodotti similari, esclusi i condizionatori per uso domestico"
51.14,"Intermediari del commercio di macchine, attrezzature ed impianti per l'industria ed il commercio; materiale ed apparecchi elettrici ed elettronici per uso non domestico; macchine per costruzioni edili e stradali; macchine ed attrezzature per ufficio, compresi i mobili; macchine ed attrezzature per uso agricolo; navi, aeromobili e altri veicoli, esclusi autoveicoli, motocicli, ciclomotori e biciclette"
51.14.01,"Agenti e rappresentanti di macchine, attrezzature ed impianti per l'industria ed il commercio; materiale e apparecchi elettrici ed elettronici per uso non domestico"
51.14.02,Agenti e rappresentanti di macchine per costruzioni edili e stradali
51.14.03,"Agenti e rappresentanti di macchine ed attrezzature per ufficio, compresi i mobili"
51.14.04,"Agenti e rappresentanti di macchine ed attrezzature per uso agricolo, compresi i trattori"
51.14.05,"Agenti e rappresentanti di navi, aeromobili e altri veicoli,  esclusi autoveicoli, motocicli, ciclomotori e biciclette"
51.14.06,"Procacciatori d'affari di macchine, attrezzature ed impianti per l'industria ed il commercio; materiale ed apparecchi elettrici ed elettronici per uso non domestico; macchine per costruzioni edili e stradali; macchine e attrezzature per ufficio, compresi i mobili; macchine ed attrezzature per uso agricolo; navi, aeromobili e altri veicoli, esclusi autoveicoli, motocicli, ciclomotori e biciclette"
51.14.07,"Mediatori in macchine, attrezzature ed impianti per l'industria ed il commercio; materiale ed apparecchi elettrici ed elettronici per uso non domestico; macchine per costruzioni edili e stradali; macchine e attrezzature per ufficio, compresi i mobili; macchine ed attrezzature per uso agricolo; navi, aeromobili e altri veicoli, esclusi autoveicoli, motocicli, ciclomotori e biciclette"
51.15,"Intermediari del commercio di mobili, esclusi i mobili per ufficio, per esercizi commerciali e per comunita'; articoli per la casa; articoli di ferramenta e di bricolage; articoli di mesticheria, compresi carte da parati, stucchi  e cornici decorativi"
51.15.01,"Agenti e rappresentanti di mobili in legno, in metallo e in materie plastiche, esclusi i mobili per ufficio, per esercizi commerciali e per comunita'"
51.15.02,Agenti e rappresentanti di articoli di ferramenta e di bricolage
51.15.03,"Agenti e rappresentanti di articoli casalinghi, porcellane, articoli in vetro, ecc."
51.15.04,"Agenti e rappresentanti di articoli di mesticheria, compresi carte da parati, stucchi  e cornici decorativi"
51.15.05,"Agenti e rappresentanti di mobili e oggetti di arredamento per la casa in canna, vimini, giunco, sughero, paglia; scope, spazzole, cesti e simili"
51.15.06,"Procacciatori d'affari di mobili, esclusi i mobili per ufficio, per esercizi commerciali e per comunita'; articoli per la casa; articoli di ferramenta e di bricolage; articoli di mesticheria, compresi carte da parati, stucchi  e cornici decorativi"
51.15.07,"Mediatori in mobili, esclusi i mobili per ufficio, per esercizi commerciali e per comunita'; articoli per la casa; articoli di ferramenta e di bricolage; articoli di mesticheria, compresi carte da parati, stucchi  e cornici decorativi"
51.16,"Intermediari del commercio di prodotti tessili; abbigliamento, compresi gli accessori; calzature ed accessori; articoli in cuoio; pellicce"
51.16.01,Agenti e rappresentanti di vestiario ed accessori di abbigliamento
51.16.02,Agenti e rappresentanti di pellicce
51.16.03,"Agenti e rappresentanti di tessuti per abbigliamento ed arredamento, comprese merceria e passamaneria"
51.16.04,"Agenti e rappresentanti di camicie, biancheria e maglieria intima"
51.16.05,Agenti e rappresentanti di calzature ed accessori
51.16.06,"Agenti e rappresentanti di pelletteria, valige ed articoli da viaggio"
51.16.07,"Agenti e rappresentanti di articoli tessili per la casa, tappeti, stuoie e materassi"
51.16.08,"Procacciatori d'affari di prodotti tessili; abbigliamento, compresi gli accessori; calzature ed accessori; articoli in cuoio; pellicce"
51.16.09,"Mediatori in prodotti tessili; abbigliamento, compresi gli accessori; calzature ed accessori; articoli in cuoio; pellicce"
51.17,"Intermediari del commercio di prodotti alimentari, bevande e tabacco"
51.17.1,"Intermediari del commercio di prodotti ortofrutticoli freschi, congelati e surgelati"
51.17.11,"Agenti e rappresentanti di prodotti ortofrutticoli freschi, congelati e surgelati"
51.17.12,"Procacciatori d'affari di prodotti ortofrutticoli freschi, congelati e surgelati"
51.17.13,"Mediatori in prodotti ortofrutticoli freschi, congelati e surgelati"
51.17.2,Intermediari del commercio di altri prodotti alimentari; bevande e prodotti similari; tabacco
51.17.21,"Agenti e rappresentanti di carni fresche, congelate, surgelate, conservate e secche; salumi"
51.17.22,"Agenti e rappresentanti di latte, burro e formaggi, escluse le uova"
51.17.23,"Agenti e rappresentanti di oli e grassi alimentari: olio d'oliva e di semi, margarina ed altri prodotti similari"
51.17.24,Agenti e rappresentanti di bevande e prodotti similari
51.17.25,"Agenti e rappresentanti di prodotti ittici freschi, congelati, surgelati e conservati e secchi"
51.17.26,"Agenti e rappresentanti di altri prodotti alimentari, compresi le uova e gli alimenti per gli animali domestici; tabacco"
51.17.27,Procacciatori d'affari di altri prodotti alimentari; bevande e prodotti similari; tabacco
51.17.28,Mediatori in altri prodotti alimentari; bevande e prodotti similari; tabacco
51.18,Intermediari del commercio di altri prodotti non alimentari n.c.a.
51.18.1,"Intermediari del commercio di carta e cartone, esclusi gli imballaggi; articoli di cartoleria e cancelleria; libri e altre pubblicazioni, compresi i relativi abbonamenti"
51.18.11,"Agenti e rappresentanti di carta e cartone, esclusi gli imballaggi; articoli di cartoleria e cancelleria"
51.18.12,"Agenti e rappresentanti di libri e altre pubblicazioni, compresi i relativi abbonamenti"
51.18.13,"Procacciatori d'affari di carta e cartone, esclusi gli imballaggi; articoli di cartoleria e cancelleria; libri e altre pubblicazioni, compresi i relativi abbonamenti"
51.18.14,"Mediatori in articoli di carta e cartone, esclusi gli imballaggi; articoli di cartoleria e cancelleria; libri e altre pubblicazioni, compresi i relativi abbonamenti"
51.18.2,Intermediari del commercio di materiale ed apparecchi elettrici ed elettronici per uso domestico
51.18.21,"Agenti e rappresentanti di apparecchi radiotelevisivi; apparecchi per la registrazione e la riproduzione del suono e dell'immagine e prodotti connessi; apparecchi telefonici; strumenti musicali; dischi, videocassette, CD e simili; materiale radiotelevisivo e telefonico; materiale elettrico per uso domestico"
51.18.22,Agenti e rappresentanti di apparecchi elettrodomestici
51.18.23,Procacciatori d'affari di materiale ed apparecchi elettrici ed elettronici per uso domestico
51.18.24,Mediatori in materiale ed apparecchi elettrici ed elettronici per uso domestico
51.18.3,"Intermediari del commercio di prodotti farmaceutici; prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici; prodotti di profumeria e di cosmetica, compresi articoli per parrucchieri; prodotti di erboristeria"
51.18.31,Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico
51.18.32,"Agenti e rappresentanti di prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici"
51.18.33,"Agenti e rappresentanti di prodotti di profumeria e di cosmetica, compresi articoli per parrucchieri; prodotti di erboristeria per uso cosmetico"
51.18.34,"Procacciatori d'affari di prodotti farmaceutici; prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici; prodotti di profumeria e di cosmetica, compresi articoli per parrucchieri; prodotti di erboristeria"
51.18.35,"Mediatori in prodotti farmaceutici; prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici; prodotti di profumeria e di cosmetica, compresi articoli per parrucchieri; prodotti di erboristeria"
51.18.4,"Intermediari del commercio di attrezzature sportive; biciclette; orologi, oggetti e metalli preziosi; articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi; saponi, detersivi, candele e prodotti simili; giocattoli; chincaglieria e bigiotteria; altri prodotti non alimentari n.c.a., compresi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari"
51.18.41,Agenti e rappresentanti di attrezzature sportive; biciclette
51.18.42,"Agenti e rappresentanti di orologi, oggetti e metalli preziosi"
51.18.43,"Agenti e rappresentanti di articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi"
51.18.44,"Agenti e rappresentanti di saponi, detersivi, candele e prodotti simili"
51.18.45,Agenti e rappresentanti di giocattoli
51.18.46,Agenti e rappresentanti di chincaglieria e bigiotteria
51.18.47,"Agenti e rappresentanti di altri prodotti non alimentari n.c.a., compresi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari"
51.18.48,"Procacciatori d'affari di attrezzature sportive; biciclette; orologi, oggetti e metalli preziosi; articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi; saponi, detersivi, candele e prodotti simili; giocattoli; chincaglieria, bigiotteria; altri prodotti non alimentari n.c.a., compresi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari"
51.18.49,"Mediatori in attrezzature sportive; biciclette; orologi, oggetti e metalli preziosi; articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi; saponi, detersivi, candele e prodotti simili; giocattoli; chincaglieria, bigiotteria; altri prodotti non alimentari n.c.a., compresi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari"
51.19,Intermediari del commercio di vari prodotti senza prevalenza di alcuno; gruppi di acquisto; mandatari agli acquisti; buyer
51.19.01,Agenti e rappresentanti di vari prodotti senza prevalenza di alcuno
51.19.02,Procacciatori d'affari di vari prodotti senza prevalenza di alcuno
51.19.03,Mediatori in vari prodotti senza prevalenza di alcuno
51.19.04,Gruppi di acquisto; mandatari agli acquisti; buyer
51.2,COMMERCIO ALL'INGROSSO DI MATERIE AGRICOLE E DI ANIMALI VIVI
51.21,"Commercio all'ingrosso di cereali e legumi secchi; sementi; mangimi per il bestiame; piante officinali, semi oleosi e patate da semina; oli e grassi non commestibili; altre materie agricole n.c.a."
51.21.1,Commercio all'ingrosso di cereali e legumi secchi
51.21.2,"Commercio all'ingrosso di sementi; mangimi per il bestiame; piante officinali, semi oleosi e patate da semina; oli  e grassi non commestibili; altre materie agricole n.c.a."
51.22,Commercio all'ingrosso di fiori e piante
51.23,"Commercio all'ingrosso di animali vivi, compresi quelli da compagnia"
51.23.01,"Commercio all'ingrosso di pollame, conigli, cacciagione, selvaggina e altri volatili vivi"
51.23.02,"Commercio all'ingrosso di altri animali vivi: bovini, suini, ovini, equini, caprini  e simili; animali da compagnia"
51.24,"Commercio all'ingrosso di pelli, anche per pellicceria, e cuoio"
51.24.1,"Commercio all'ingrosso di cuoio e di pelli gregge e lavorate, escluse pelli per pellicceria"
51.24.2,Commercio all'ingrosso di pelli gregge e lavorate per pellicceria
51.25,Commercio all'ingrosso di tabacco grezzo
51.3,"COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI, BEVANDE E PRODOTTI A BASE DI TABACCO"
51.31,"Commercio all'ingrosso prodotti ortofrutticoli freschi, congelati e surgelati; patate non da semina"
51.32,Commercio all'ingrosso di carne; prodotti di salumeria; carne lavorata;  prodotti a base di carne
51.32.1,"Commercio all'ingrosso di carne fresca, congelata e surgelata"
51.32.11,Commercio all'ingrosso di carne fresca
51.32.12,Commercio all'ingrosso di carne congelata e surgelata
51.32.2,Commercio all'ingrosso di prodotti di salumeria; carne lavorata; prodotti a base di carne
51.33,"Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi commestibili"
51.33.1,Commercio all'ingrosso di prodotti lattiero-caseari e di uova
51.33.2,Commercio all'ingrosso di oli e grassi commestibili
51.34,Commercio all'ingrosso di bevande e prodotti similari
51.34.1,Commercio all'ingrosso di bevande alcoliche
51.34.2,Commercio all'ingrosso di altre bevande
51.35,Commercio all'ingrosso di prodotti a base di tabacco
51.36,"Commercio all'ingrosso di zucchero; cioccolato, dolciumi e gelati; prodotti da forno e di panetteria"
51.36.01,Commercio all'ingrosso di zucchero
51.36.02,"Commercio all'ingrosso di cioccolato, dolciumi e gelati"
51.36.03,Commercio all'ingrosso di prodotti da forno e di panetteria
51.37,Commercio all'ingrosso di caffe'; te' e altri preparati per infusi; cacao e spezie
51.37.01,Commercio all'ingrosso di caffe'
51.37.02,Commercio all'ingrosso di te' ed altri preparati per infusi; cacao e spezie
51.38,Commercio all'ingrosso di prodotti della pesca; altri prodotti alimentari
51.38.1,Commercio all'ingrosso di prodotti della pesca freschi
51.38.2,"Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati e secchi"
51.38.3,Commercio all'ingrosso di prodotti alimentari n.c.a.
51.38.31,Commercio all'ingrosso di conserve alimentari
51.38.32,"Commercio all'ingrosso di paste alimentari, farina e lieviti"
51.38.33,Commercio all'ingrosso di altri prodotti alimentari n.c.a.
51.39,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e prodotti  a base di tabacco"
51.39.1,Commercio all'ingrosso non specializzato di prodotti surgelati e congelati
51.39.2,"Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e prodotti del tabacco tabacco"
51.4,COMMERCIO ALL'INGROSSO DI ALTRI BENI DI CONSUMO FINALE
51.41,Commercio all'ingrosso di prodotti tessili
51.41.1,Commercio all'ingrosso di tessuti
51.41.2,"Commercio all'ingrosso di articoli di merceria, filati e passamaneria"
51.41.3,"Commercio all'ingrosso di articoli tessili per la casa, esclusi tappeti e stuoie, e di altri articoli tessili n.c.a."
51.42,"Commercio all'ingrosso di abbigliamento e di calzature, compresi gli accessori"
51.42.1,Commercio all'ingrosso di abbigliamento e accessori
51.42.2,Commercio all'ingrosso di pellicce e articoli in pelliccia
51.42.3,Commercio all'ingrosso di camicie; biancheria e maglieria intima e simili
51.42.4,Commercio all'ingrosso di calzature e accessori
51.43,"Commercio all'ingrosso di elettrodomestici, apparecchi radiotelevisivi e telefonici, compresi parti e accessori; antifurto; apparecchi ed articoli per illuminazione;  materiale elettrico per uso domestico"
51.43.1,"Commercio all'ingrosso di elettrodomestici, apparecchi radiotelevisivi e telefonici, apparecchi per la registrazione e la riproduzione del suono e dell'immagine e prodotti connessi, compresi parti e accessori"
51.43.2,"Commercio all'ingrosso di supporti, vergini o registrati, audio, video e informatici"
51.43.3,"Commercio all'ingrosso di materiali radiotelevisivi, telefonici ed antifurto"
51.43.4,Commercio all'ingrosso di apparecchi ed articoli per illuminazione; materiale elettrico per uso domestico
51.44,"Commercio all'ingrosso di articoli di porcellana e di vetro; carte da parati, stucchi e cornici decorativi; prodotti per la pulizia non per uso personale; coltelleria, posateria,  pentole e tegami"
51.44.1,Commercio all'ingrosso di vetrerie e cristallerie
51.44.2,Commercio all'ingrosso di ceramiche e porcellane
51.44.3,"Commercio all'ingrosso di carte da parati, stucchi e cornici decorativi"
51.44.4,"Commercio all'ingrosso di saponi, detersivi ed altri prodotti per la pulizia non per uso personale"
51.44.5,"Commercio all'ingrosso di coltelleria, posateria, pentole e tegami"
51.45,"Commercio all'ingrosso di profumi, cosmetici, saponi ed altri detergenti per uso personale"
51.46.1,"Commercio all'ingrosso di prodotti farmaceutici, compresi i prodotti di erboristeria per uso medico"
51.47.1,"Commercio all'ingrosso di mobili di qualsiasi materiale, esclusi quelli per ufficio e per esercizi commerciali"
51.47.4,"Commercio all'ingrosso di articoli per fotografia, cinematografia ed ottica; strumenti ed attrezzature per uso scientifico"
51.47.51,"Commercio all'ingrosso di orologeria, di forniture e di accessori per orologeria"
51.47.6,"Commercio all'ingrosso di giochi, esclusi i giochi pirotecnici e quelli per parchi giochi e luna-park; giocattoli; videogiochi per uso domestico; articoli per puericoltura"
51.47.9,Commercio all'ingrosso di altri prodotti non alimentari
